Date,Open,High,Low,Close,Volume
8/8/2018,6717.67,6717.68,6121,6283.59,14668.561
8/9/2018,6283.89,6627,6190.01,6543.76,9484.886705
8/10/2018,6544.98,6584.05,5995.75,6139.99,14096.00989
8/11/2018,6139.99,6494.13,6000,6239.98,6818.375048
8/12/2018,6240.49,6493.77,6163.44,6310.82,7169.893231
8/13/2018,6311.99,6544.37,6142.2,6252.63,8896.680837
8/14/2018,6252.63,6254.02,5880,6193.62,14235.27018
8/15/2018,6194.3,6628.5,6186.02,6272.3,12501.11335
8/16/2018,6273.34,6477.57,6208.37,6313.51,7099.261164
8/17/2018,6314.08,6584.49,6290.64,6580.15,6635.58159
8/18/2018,6578.13,6615,6303,6399.28,3496.802321
8/19/2018,6397.37,6545,6312,6481.99,3138.711318
8/20/2018,6481.63,6522.99,6223.9,6260.82,6254.820808
8/21/2018,6260.83,6513.28,6246.05,6479.27,5655.041725
8/22/2018,6478.99,6906.81,6250,6355.76,11955.6507
8/23/2018,6355.97,6575.99,6344.8,6525.01,4028.433872
8/24/2018,6525.99,6721.09,6445.32,6692.94,6374.542579
8/25/2018,6692.99,6800,6664.25,6732.4,4980.649283
8/26/2018,6732.99,6775.34,6558.95,6700.46,3475.72025
8/27/2018,6700.13,6944.47,6641.35,6904.51,5863.688248
8/28/2018,6911.7,7125.28,6861.17,7080.94,8222.247652
8/29/2018,7079.46,7124.06,6890,7032.96,5730.978927
8/30/2018,7034.47,7055.97,6792.85,6984.01,6875.261972
8/31/2018,6984.34,7101.03,6879,7017.35,5790.380506
9/1/2018,7015.78,7300.18,7015.22,7185.01,4590.457241
9/2/2018,7195.8,7334.5,7130.63,7290.31,3297.686585
9/3/2018,7291.94,7340.08,7184,7258.99,2829.877073
9/4/2018,7261.29,7411.85,7231,7361,4531.147804
9/5/2018,7353.48,7387,6650,6679.3,12408.79699
9/6/2018,6671.95,6705.59,6253.29,6493.09,14674.02367
9/7/2018,6488.01,6525,6322,6400,6541.967471
9/8/2018,6401.01,6465.46,6113.23,6178.31,4284.194843
9/9/2018,6178.31,6451.51,6094.38,6236.04,4104.313796
9/10/2018,6238.99,6351.13,6223.9,6301.99,5371.725307
9/11/2018,6303.99,6405,6162.06,6279.99,7076.79726
9/12/2018,6274.6,6350,6192.89,6322.45,4282.140444
9/13/2018,6326.83,6537.46,6324.37,6485.7,6985.347475
9/14/2018,6482.95,6587,6384.36,6476.51,4598.020983
9/15/2018,6476.51,6570.1,6466.74,6520.15,1328.819563
9/16/2018,6521.49,6524.84,6349.47,6499.98,1098.62806
9/17/2018,6499.28,6530.24,6200,6254.52,4386.887725
9/18/2018,6251.49,6390,6226.63,6332.34,4196.473148
9/19/2018,6330,6510,6100,6388.4,7232.08338
9/20/2018,6388.4,6535.11,6333.63,6492.98,5177.645104
9/21/2018,6492.98,6775.34,6483.83,6749.45,8569.985873
9/22/2018,6748.85,6826.28,6624.79,6710.01,5491.809514
9/23/2018,6710.01,6774.91,6659,6702.22,3248.804919
9/24/2018,6703.37,6721.68,6550.96,6581.52,4030.72562
9/25/2018,6578.7,6579.59,6324.96,6428.99,8206.617005
9/26/2018,6428.09,6540,6379.44,6461.51,4295.926741
9/27/2018,6454.32,6736.85,6431.95,6681.62,5664.852113
9/28/2018,6684.5,6792.28,6525.67,6610.76,7642.049364
9/29/2018,6609.02,6609.02,6454,6579.38,3382.015922
9/30/2018,6574.29,6628.06,6510,6597.81,2482.695075
10/1/2018,6597.79,6638.15,6477.57,6571.2,4753.146989
10/2/2018,6569.32,6597,6447.28,6500,4116.133424
10/3/2018,6500,6510,6396.34,6456.77,4774.763282
10/4/2018,6454.81,6604.89,6450.58,6547.56,3832.700489
10/5/2018,6548.83,6641.35,6510,6582.12,3807.269282
10/6/2018,6582.11,6595.69,6526.28,6544.08,2022.780759
10/7/2018,6547.93,6600,6493.92,6577.63,2455.656591
10/8/2018,6574.15,6656.63,6541.06,6604.75,4079.044249
10/9/2018,6604.76,6623.14,6553.13,6588.8,2254.95027
10/10/2018,6588.72,6589.79,6387.91,6517.55,5177.06676
10/11/2018,6517.55,6520.43,6055.28,6152.76,9616.239584
10/12/2018,6152.76,6243.79,6109.79,6185.15,3246.381557
10/13/2018,6182.03,6219.77,6168.83,6199.69,1954.046806
10/14/2018,6201.23,6349.47,6143.08,6183,2525.738201
10/15/2018,6185.04,6756,6149.28,6441.74,16895.8893
10/16/2018,6438.2,6493.77,6386.4,6461.2,4703.093906
10/17/2018,6457.67,6465.39,6407.69,6437.29,2961.263374
10/18/2018,6440.07,6490,6350,6396.18,3823.169285
10/19/2018,6394.23,6412.4,6355.99,6383.46,2290.059012
10/20/2018,6380.47,6424.16,6363.02,6412.86,1261.978495
10/21/2018,6412.86,6470,6401.01,6413.38,1541.011517
10/22/2018,6412.62,6429.23,6372.53,6406.06,2407.535462
10/23/2018,6409.39,6421.58,6354.26,6393.41,2851.005567
10/24/2018,6396.24,6473,6393,6411.96,3535.338088
10/25/2018,6411.96,6422.73,6361.73,6393.53,3046.603806
10/26/2018,6393.38,6450.3,6377.81,6406.1,3323.826318
10/27/2018,6406.1,6420.01,6381.25,6407.66,890.1271569
10/28/2018,6407.66,6420,6383,6405.57,839.2976647
10/29/2018,6404.27,6420,6208.37,6266.52,5190.822015
10/30/2018,6266.47,6289,6240,6269.46,2523.577429
10/31/2018,6269.45,6350,6199.25,6303.27,5148.082624
11/1/2018,6304.5,6365.33,6288.01,6340.99,2190.970477
11/2/2018,6343.85,6381.25,6328.33,6350.43,2678.069481
11/3/2018,6350.05,6351.74,6312.48,6335,1084.13862
11/4/2018,6333.59,6475,6310.57,6421.76,2673.813914
11/5/2018,6428.23,6441.43,6369.89,6403.2,2335.488655
11/6/2018,6404.97,6460.01,6378.24,6447.5,4270.3346
11/7/2018,6448.17,6544,6442.47,6501,4798.836047
11/8/2018,6501,6511.27,6388.88,6405.49,3966.973032
11/9/2018,6405.49,6418.18,6307,6325,3218.129026
11/10/2018,6325,6377.26,6323,6349.32,1523.39385
11/11/2018,6349.39,6365,6269.46,6357.54,1718.268556
11/12/2018,6352.57,6388.21,6298.5,6318,3526.039032
11/13/2018,6318.01,6328.36,6244.35,6260.91,3630.562721
11/14/2018,6255.86,6298.47,5324,5595.91,25121.93301
11/15/2018,5592.23,5641,5199.8,5585,19945.90828
11/16/2018,5571.12,5610,5411.74,5508.71,8074.605576
11/17/2018,5514.62,5550.66,5452.63,5503.36,2732.791629
